x,y,z,
36.20398,37.19057,-0.07781,
36.20624,37.19057,1.113825,
36.20565,37.19057,2.633134,
36.20464,37.19058,-0.134778,
36.20591,37.19058,-2.745276,
36.20362,37.19059,0.826428,
36.20341,37.19062,0.94743,
36.19812,37.19064,1.711699,
36.20414,37.19064,-0.045649,
36.198,37.19065,1.128206,
36.19899,37.19065,-1.227179,
36.19825,37.19065,0.318022,
36.19841,37.19065,-1.253186,
36.20075,37.19065,0.964321,
36.19858,37.19067,0.680092,
36.2002,37.19067,0.496553,
36.20461,37.19071,-0.226312,
36.20526,37.19071,-0.089714,
36.19919,37.19072,-1.834228,
36.19886,37.19072,0.352447,
36.20394,37.19072,-0.040308,
36.2044,37.19073,1.046281,
36.20548,37.19073,-0.699895,
36.20497,37.19074,-2.054531,
36.19899,37.19074,-0.668311,
36.20343,37.19074,0.060368,
36.20287,37.19074,5.109758,
36.19833,37.19075,1.610529,
36.19856,37.19075,0.589582,
36.19872,37.19075,0.254616,
36.20575,37.19075,-2.457296,
36.20028,37.19077,0.695165,
36.20358,37.19078,-1.800429,
36.20411,37.19078,0.475664,
36.20484,37.19078,0.893346,
36.20044,37.19081,0.532378,
36.20628,37.19081,-2.52423,
36.19899,37.19083,0.012948,
36.198,37.19084,0.481968,
36.19857,37.19085,-0.477856,
36.19829,37.19085,0.402785,
36.20474,37.19085,1.032947,
36.20291,37.19085,-1.341756,
36.19812,37.19086,-0.18091,
36.19869,37.19086,-0.459321,
36.19842,37.19086,-2.631878,
36.20081,37.19086,0.347266,
36.20579,37.19089,-2.614346,
36.20632,37.1909,0.134239,
36.2053,37.19092,-3.03274,
36.19799,37.19093,1.634357,
36.20025,37.19093,-0.919373,
36.19887,37.19094,-0.347578,
36.20548,37.19094,-1.961144,
36.20337,37.19097,-2.633711,
36.20462,37.19099,1.242757,
36.19911,37.191,-0.37294,
36.20598,37.191,0.801879,
36.20634,37.19101,-1.726861,
36.2053,37.19101,-1.108046,
36.19869,37.19104,-1.257131,
36.19857,37.19104,0.673843,
36.19842,37.19104,0.851453,
36.19886,37.19107,-0.046257,
36.20406,37.19107,2.314807,
36.20654,37.19108,-1.407644,
36.20555,37.19108,0.068109,
36.20334,37.19109,0.248721,
36.20051,37.1911,1.165048,
